,DMSO-CHX__vs_DMSO,U1-WT100-CHX_vs_DMSO,U1-WT100-CHX_vs_DMSO-CHX,U1-WT100-CHX_vs_WT100,U1-WT100-EtOH_vs_DMSO,U1-WT500-CHX_vs_DMSO,U1-WT500-CHX_vs_DMSO-CHX,U1-WT500-CHX_vs_WT500,U1-WT500-EtOH_vs_DMSO
FAM13B,1,1,0,1,0,1,0,1,0
BRD8,1,1,0,1,0,1,0,1,0
FAM53C,1,1,0,1,0,1,0,1,0
EGR1,1,1,0,1,0,1,0,1,0
LRRTM2,1,1,0,1,0,1,0,1,0
AC011405.1,1,0,0,0,0,0,0,0,0
MATR3,1,1,0,1,0,1,0,1,0
SNHG4,1,1,0,1,0,1,0,1,0
IGIP,0,0,0,0,0,1,0,0,0
HBEGF,0,0,0,0,0,1,0,1,0
APBB3,1,1,0,1,0,1,0,1,0
TMCO6,1,1,0,1,0,1,0,1,0
WDR55,1,1,0,0,0,1,0,1,0
DND1,1,1,0,1,0,1,0,1,0
HARS2,1,1,0,1,0,1,0,1,0
PCDHB2,0,0,0,0,0,1,0,0,0
TAF7,1,1,0,1,0,0,0,1,0
AC005618.4,1,0,0,1,0,1,0,0,0
PCDHGA7,0,0,0,0,0,1,0,0,0
PCDHGB7,0,0,0,0,0,1,0,0,0
PCDHGA11,0,1,0,0,0,0,0,0,0
PCDHGC3,1,1,0,0,0,1,0,1,0
PCDHGC4,0,1,0,0,0,1,0,0,0
FCHSD1,1,1,0,1,0,1,0,1,0
PCDH1,0,1,0,1,0,0,0,1,0
NR3C1,0,0,0,1,0,0,0,0,0
AC091925.1,1,1,0,1,0,1,0,1,0
PLAC8L1,1,1,0,1,0,1,0,1,0
TCERG1,1,1,0,0,0,1,0,0,0
STK32A,0,0,0,1,0,0,0,0,0
JAKMIP2,1,1,0,1,0,1,0,1,0
SPINK5,1,1,0,1,0,1,0,1,0
AC011346.1,1,0,0,1,0,0,0,1,0
FBXO38,1,1,0,1,0,1,0,1,0
ABLIM3,0,0,0,0,0,1,0,0,0
AC131025.1,1,1,0,1,0,1,0,1,0
ARHGEF37,1,1,0,1,0,1,0,1,0
SLC26A2,0,0,0,0,0,1,0,0,0
TIGD6,1,1,0,1,0,1,0,1,0
HMGXB3,1,1,0,1,0,1,0,1,0
RPL7P1,0,0,0,1,0,0,0,1,0
PDGFRB,0,1,0,0,0,1,0,1,0
NDST1,1,1,0,0,0,0,0,0,0
IRGM,1,1,0,0,0,1,0,0,0
ZNF300,1,0,0,0,0,0,0,1,0
CCDC69,0,0,0,1,0,0,0,0,0
GM2A,1,1,0,1,0,1,0,1,0
AC011337.1,1,0,0,0,0,1,0,1,0
SPARC,1,1,0,1,0,1,0,1,0
FAXDC2,0,0,0,0,0,1,0,1,0
MED7,0,0,0,0,0,0,0,1,0
ADAM19,1,1,0,1,0,1,0,1,0
SOX30,0,0,0,1,0,1,0,1,0
THG1L,0,1,0,0,0,0,0,0,0
EBF1,0,0,0,0,0,1,0,1,0
RNF145,1,0,0,1,0,0,0,1,0
AC008691.1,1,1,0,1,0,0,0,1,0
IL12B,1,1,0,1,0,1,0,0,0
ADRA1B,0,0,0,0,0,0,0,1,0
CCNJL,0,1,0,1,0,1,0,1,0
ZBED8,0,0,0,1,0,0,0,1,0
PTTG1,1,1,0,1,0,1,0,1,0
CCNG1,1,1,0,1,0,1,0,1,0
AC026403.1,0,0,0,0,0,0,0,1,0
SLIT3,0,0,0,0,0,1,0,0,0
RANBP17,1,1,0,1,0,1,0,1,0
USP12P1,0,0,0,0,0,1,0,1,0
NPM1,0,0,0,0,0,0,0,1,0
FBXW11,1,1,0,1,0,1,0,1,0
NEURL1B,1,1,0,1,0,1,0,1,0
DUSP1,1,1,0,1,0,1,0,1,0
BNIP1,1,1,0,1,0,1,0,1,0
RPL7AP33,0,0,0,0,0,0,0,1,0
CPEB4,0,0,0,1,0,0,0,0,0
MSX2,1,1,0,1,0,1,0,1,0
AC139491.2,1,1,0,0,0,0,0,0,0
AC139493.2,0,0,0,1,0,0,0,1,0
ARL10,1,1,0,1,0,1,0,1,0
SNCB,0,0,0,1,0,1,0,1,0
UIMC1,1,1,0,1,0,1,0,1,0
ZNF346,1,0,0,0,0,1,0,1,0
F12,0,0,0,1,0,0,0,0,0
PRR7,0,0,0,0,0,1,0,0,0
AC145098.2,1,1,0,0,0,1,0,1,0
DOK3,1,1,0,1,0,1,0,1,0
FAM193B,1,1,0,1,0,1,0,1,0
AC139795.1,1,1,0,1,0,1,0,1,0
AC138819.1,0,1,0,0,0,0,0,0,0
AC106795.2,1,1,0,0,0,0,0,0,0
AC136632.1,1,0,0,0,0,0,0,0,0
RMND5B,1,1,0,1,0,1,0,1,0
PHYKPL,1,1,0,0,0,1,0,1,0
CLK4,1,1,0,1,0,1,0,1,0
ZNF354A,1,1,0,1,0,1,0,1,0
ZNF354B,1,1,0,1,0,1,0,1,0
ZFP2,1,1,0,1,0,1,0,1,0
ZNF879,1,1,0,1,0,1,0,1,0
ADAMTS2,1,1,0,1,0,1,0,1,0
RUFY1,1,1,0,1,0,1,0,1,0
CANX,1,1,0,1,0,0,0,1,0
MRNIP,1,0,0,0,0,1,0,1,0
RNF130,1,1,0,1,0,1,0,1,0
AC022413.2,1,1,0,1,0,1,0,1,0
HEIH,0,1,0,1,0,1,0,0,0
LINC01962,0,0,0,1,0,0,0,0,0
TRIM7,0,1,0,1,0,0,0,0,0
RACK1,1,1,0,1,0,0,0,1,0
AC138035.1,1,1,0,1,0,1,0,1,0
HUS1B,0,0,0,0,0,1,0,0,0
FOXQ1,1,0,0,0,0,0,0,0,0
AL034346.1,0,0,0,0,0,1,0,0,0
FOXC1,1,1,0,1,0,1,0,1,0
GMDS.DT,0,0,0,0,0,1,0,0,0
LINC01600,0,1,0,0,0,0,0,0,0
RIPK1,1,0,0,1,0,0,0,0,0
TUBB2A,1,1,0,1,0,1,0,1,0
PXDC1,0,0,0,1,0,0,0,0,0
PPP1R3G,1,1,0,1,0,1,0,1,0
NRN1,0,0,0,1,0,0,0,0,0
SSR1,1,1,0,1,0,1,0,1,0
BMP6,1,1,0,1,0,1,0,1,0
HULC,0,0,0,0,0,0,0,1,0
PAK1IP1,1,1,0,0,0,1,0,0,0
MAK,1,1,0,1,0,1,0,1,0
GCM2,0,0,0,1,0,1,0,1,0
SYCP2L,1,1,0,1,0,1,0,1,0
NEDD9,1,1,0,1,0,1,0,1,0
TMEM170B,1,1,0,0,0,1,0,1,0
HIVEP1,0,1,0,1,0,0,0,1,0
RPL15P3,1,0,0,1,0,0,0,1,0
AL008729.1,1,1,0,1,0,1,0,1,0
AL008729.2,0,0,0,0,0,0,0,1,0
GFOD1,1,1,0,1,0,1,0,0,0
AL441883.1,0,1,0,0,0,1,0,0,0
RNF182,0,1,0,0,0,1,0,0,0
AL137003.1,0,0,0,0,0,0,0,1,0
STMND1,1,1,0,1,0,1,0,1,0
AL138824.1,0,0,0,1,0,0,0,0,0
NUP153,1,0,0,0,0,0,0,0,0
KIF13A,1,1,0,0,0,1,0,0,0
LNC.LBCS,0,1,0,1,0,1,0,1,0
ID4,1,1,0,1,0,1,0,1,0
SOX4,1,1,0,1,0,1,0,1,0
RIPOR2,1,0,0,0,0,0,0,0,0
CMAHP,1,1,0,1,0,1,0,1,0
H4C1,0,0,0,1,0,0,0,0,0
H4C2,0,0,0,1,0,0,0,0,0
H3C2,0,0,0,0,0,0,0,1,0
H1.2,1,1,0,1,0,1,0,1,0
H2BC4,0,0,0,1,0,0,0,1,0
H2AC6,1,1,0,1,0,1,0,1,0
H1.4,0,0,0,0,0,0,0,1,0
H2BC5,1,1,0,1,0,1,0,1,0
H2BC6,1,1,0,1,0,1,0,1,0
H4C4,0,1,0,0,0,1,0,0,0
AL031777.2,1,1,0,1,0,1,0,1,0
H3C4,0,0,0,0,0,0,0,1,0
H2AC7,1,1,0,1,0,1,0,1,0
H2BC7,1,1,0,1,0,1,0,1,0
AL031777.1,0,0,0,0,0,1,0,0,0
H4C5,0,0,0,1,0,0,0,1,0
H2BC8,0,0,0,0,0,1,0,1,0
H2AC8,0,0,0,1,0,0,0,0,0
H3C6,1,1,0,1,0,1,0,1,0
H1.3,0,1,0,1,0,1,0,1,0
H4C8,1,1,0,1,0,1,0,1,0
H3C9P,0,0,0,0,0,1,0,0,0
BTN3A2,1,1,0,1,0,1,0,1,0
BTN2A2,0,0,0,0,0,0,0,1,0
BTN2A3P,1,1,0,1,0,1,0,1,0
BTN3A3,1,1,0,1,0,1,0,1,0
BTN2A1,1,1,0,1,0,1,0,1,0
GUSBP2,1,1,0,1,0,1,0,1,0
AL021807.1,1,1,0,1,0,1,0,1,0
H2BC11,1,1,0,1,0,1,0,1,0
H2AC11,1,1,0,1,0,1,0,1,0
H2AC12,0,0,0,0,0,0,0,1,0
ZNF391,1,1,0,1,0,1,0,1,0
ZNF184,1,1,0,1,0,1,0,1,0
AL009179.1,1,1,0,1,0,1,0,1,0
H2BC13,0,1,0,1,0,0,0,0,0
H2AC13,0,0,0,1,0,0,0,0,0
H3C10,1,1,0,1,0,1,0,1,0
H2BC15,1,1,0,1,0,1,0,1,0
H2AC15,1,1,0,1,0,1,0,1,0
H2AC16,0,1,0,1,0,0,0,0,0
H3C12,1,1,0,1,0,1,0,0,0
H2BC17,0,0,0,1,0,1,0,0,0
OR2B6,1,0,0,0,0,0,0,0,0
ZNF165,1,1,0,1,0,1,0,1,0
ZSCAN12P1,1,1,0,1,0,1,0,1,0
ZSCAN16,1,1,0,1,0,1,0,1,0
AL358933.1,0,0,0,0,0,1,0,0,0
ZNF192P1,1,1,0,1,0,1,0,1,0
AL022393.1,1,1,0,1,0,1,0,1,0
ZNF192P2,0,0,0,0,0,0,0,1,0
ZSCAN9,1,1,0,1,0,1,0,1,0
ZKSCAN4,1,1,0,1,0,1,0,1,0
ZSCAN26,1,1,0,1,0,1,0,1,0
AL021997.3,1,0,0,0,0,0,0,0,0
PGBD1,1,1,0,1,0,1,0,1,0
ZSCAN31,1,1,0,1,0,1,0,1,0
ZKSCAN3,1,1,0,1,0,1,0,1,0
ZSCAN12,1,1,0,1,0,1,0,1,0
ZSCAN23,1,1,0,1,0,1,0,1,0
Z98745.2,1,1,0,1,0,1,0,1,0
ZBED9,1,1,0,1,0,0,0,1,0
GABBR1,1,1,0,1,0,1,0,1,0
HLA.F.AS1,1,1,0,1,0,0,0,0,0
RPL23AP1,0,0,0,0,0,1,0,0,0
AL671277.1,0,0,0,0,0,0,0,1,0
ZNRD1ASP,1,0,0,1,0,0,0,0,0
HLA.L,1,1,0,1,0,1,0,1,0
TRIM39,1,1,0,1,0,1,0,1,0
TRIM39.RPP21,0,0,0,0,0,1,0,1,0
RPP21,0,0,0,1,0,0,0,0,0
PPP1R10,1,0,0,1,0,1,0,0,0
C6orf136,1,1,0,1,0,1,0,1,0
TUBB,1,1,0,1,0,1,0,1,0
AL662797.2,1,1,0,1,0,1,0,1,0
HCG20,1,1,0,0,0,1,0,0,0
DDR1,1,0,0,1,0,0,0,1,0
VARS2,0,0,0,0,0,0,0,1,0
HLA.C,1,0,0,1,0,0,0,1,0
HLA.B,1,1,0,1,0,1,0,1,0
AL671883.2,0,0,0,0,0,0,0,1,0
PPIAP9,0,0,0,0,0,1,0,0,0
LTA,0,1,0,1,0,1,0,0,0
LY6G5C,0,0,0,0,0,1,0,1,0
ABHD16A,0,0,0,0,0,0,0,1,0
LY6G6D,0,1,0,0,0,0,0,0,0
CLIC1,0,0,0,0,0,0,0,1,0
MSH5,1,1,0,1,0,1,0,1,0
MSH5.SAPCD1,1,1,0,1,0,1,0,1,0
VWA7,1,0,0,0,0,1,0,0,0
HSPA1A,1,1,0,1,0,1,0,1,0
HSPA1B,1,1,0,1,0,1,0,1,0
SNHG32,1,1,0,1,0,1,0,1,0
C2.AS1,0,1,0,0,0,0,0,0,0
CFB,1,0,0,0,0,0,0,0,0
DXO,1,1,0,1,0,1,0,1,0
STK19,1,1,0,1,0,1,0,1,0
C4A,1,1,0,1,0,1,0,1,0
FKBPL,1,1,0,1,0,1,0,1,0
PPT2.EGFL8,1,1,0,1,0,1,0,1,0
EGFL8,1,1,0,0,0,1,0,1,0
NOTCH4,0,1,0,1,0,0,0,0,0
HLA.DOB,1,1,0,1,0,1,0,1,0
BRD2,1,1,0,1,0,1,0,1,0
HLA.DOA,0,0,0,0,0,1,0,0,0
HLA.DPA1,0,0,0,0,0,1,0,1,0
COL11A2,0,1,0,0,0,0,0,0,0
TAPBP,1,1,0,1,0,1,0,1,0
PHF1,0,0,0,0,0,1,0,0,0
CUTA,1,0,0,0,0,0,0,0,0
SYNGAP1,1,1,0,1,0,1,0,1,0
ZBTB9,1,1,0,1,0,1,0,1,0
HMGA1,1,1,0,1,0,1,0,1,0
AL354740.1,0,0,0,0,0,0,0,1,0
NUDT3,1,1,0,1,0,1,0,1,0
RPS10,1,0,0,1,0,0,0,0,0
PPARD,1,1,0,1,0,1,0,1,0
FANCE,1,1,0,1,0,1,0,1,0
BRPF3,1,1,0,1,0,1,0,1,0
PNPLA1,0,0,0,0,0,1,0,1,0
ETV7,1,1,0,1,0,1,0,1,0
CDKN1A,0,0,0,0,0,1,0,0,0
PIM1,1,1,0,1,0,1,0,1,0
TMEM217,1,1,0,1,0,1,0,0,0
TBC1D22B,1,1,0,1,0,1,0,0,0
MDGA1,1,1,0,1,0,1,0,1,0
DNAH8,1,0,0,0,0,1,0,1,0
KCNK5,1,1,0,1,0,1,0,1,0
DAAM2.AS1,1,0,0,0,0,1,0,1,0
UNC5CL,1,1,0,1,0,1,0,1,0
ADCY10P1,1,0,0,0,0,0,0,0,0
BYSL,1,1,0,1,0,1,0,1,0
GUCA1B,1,1,0,1,0,1,0,1,0
UBR2,1,1,0,1,0,1,0,1,0
CUL7,0,0,0,1,0,0,0,1,0
DNPH1,1,1,0,1,0,0,0,0,0
ABCC10,0,0,0,0,0,0,0,1,0
MAD2L1BP,1,1,0,1,0,1,0,1,0
AL109615.4,0,1,0,1,0,1,0,1,0
TMEM63B,0,1,0,1,0,0,0,0,0
HSP90AB1,0,0,0,1,0,0,0,1,0
NFKBIE,1,1,0,0,0,1,0,0,0
TCTE1,1,1,0,1,0,1,0,1,0
PLA2G7,1,0,0,0,0,1,0,0,0
PTCHD4,0,0,0,1,0,0,0,0,0
CENPQ,1,1,0,1,0,1,0,1,0
C6orf141,1,1,0,1,0,1,0,1,0
PAQR8,1,1,0,0,0,1,0,1,0
TRAM2,1,0,0,0,0,0,0,0,0
CILK1,1,1,0,1,0,1,0,1,0
GCM1,1,1,0,1,0,1,0,0,0
AL034374.1,1,1,0,0,0,1,0,0,0
KLHL31,1,1,0,1,0,0,0,0,0
BMP5,1,1,0,0,0,1,0,0,0
BEND6,0,1,0,0,0,1,0,0,0
KIAA1586,1,1,0,1,0,1,0,0,0
ZNF451,1,1,0,1,0,1,0,1,0
ZNF451.AS1,0,0,0,1,0,0,0,0,0
RAB23,1,1,0,1,0,1,0,0,0
AL021368.2,1,1,0,1,0,1,0,1,0
GUSBP4,1,1,0,1,0,1,0,1,0
AL021368.4,1,1,0,1,0,1,0,1,0
NUFIP1P1,1,1,0,0,0,0,0,0,0
FAM135A,1,1,0,1,0,1,0,1,0
CGAS,1,0,0,0,0,1,0,0,0
EEF1A1,1,1,0,1,0,1,0,1,0
COL12A1,0,0,0,0,0,1,0,0,0
AL080250.1,1,1,0,1,0,1,0,1,0
FILIP1,1,1,0,1,0,1,0,1,0
PHIP,1,0,0,1,0,0,0,0,0
AL359715.1,1,0,0,0,0,0,0,0,0
AL359715.2,1,0,0,0,0,0,0,1,0
TENT5A,1,1,0,1,0,1,0,1,0
DOP1A,1,1,0,1,0,1,0,1,0
PRSS35,1,1,0,1,0,1,0,1,0
AL139232.1,0,0,0,0,0,1,0,0,0
MRAP2,0,0,0,1,0,1,0,0,0
CEP162,1,1,0,1,0,1,0,1,0
TBX18,1,1,0,1,0,1,0,1,0
CGA,1,1,0,0,0,1,0,1,0
ZNF292,1,1,0,1,0,1,0,1,0
AKIRIN2,1,1,0,1,0,1,0,1,0
CNR1,0,0,0,0,0,0,0,1,0
PNRC1,1,1,0,1,0,1,0,1,0
GABRR2,1,1,0,0,0,1,0,1,0
RRAGD,1,0,0,0,0,1,0,0,0
CASP8AP2,1,1,0,1,0,1,0,1,0
KLHL32,1,0,0,1,0,0,0,1,0
MMS22L,1,0,0,1,0,0,0,0,0
AL589740.1,0,0,0,1,0,0,0,1,0
USP45,1,0,0,1,0,0,0,1,0
SIM1,0,1,0,1,0,0,0,0,0
GRIK2,0,1,0,0,0,1,0,0,0
HACE1,1,0,0,0,0,0,0,0,0
BVES.AS1,0,1,0,1,0,1,0,0,0
PRDM1,0,1,0,1,0,1,0,1,0
RTN4IP1,1,1,0,1,0,1,0,1,0
CD24,0,0,0,1,0,0,0,1,0
NR2E1,0,0,0,0,0,1,0,1,0
AFG1L,1,1,0,1,0,1,0,1,0
FOXO3,1,1,0,1,0,1,0,1,0
Z95118.2,1,1,0,1,0,1,0,1,0
CCDC162P,1,1,0,1,0,1,0,1,0
AL359711.2,0,0,0,0,0,1,0,0,0
ZBTB24,1,1,0,1,0,1,0,1,0
AL512303.1,1,1,0,1,0,1,0,1,0
CDK19,0,1,0,0,0,1,0,0,0
AL080317.2,0,0,0,0,0,1,0,0,0
TRAF3IP2.AS1,0,1,0,1,0,1,0,1,0
MARCKS,1,0,0,0,0,0,0,1,0
RSPH4A,1,1,0,0,0,1,0,1,0
ZUP1,1,1,0,1,0,1,0,1,0
KPNA5,1,0,0,0,0,0,0,0,0
RFX6,0,0,0,0,0,1,0,0,0
NUS1,1,1,0,1,0,1,0,1,0
SLC35F1,1,1,0,1,0,1,0,1,0
CEP85L,1,1,0,1,0,1,0,1,0
Z99496.2,0,0,0,0,0,1,0,0,0
MCM9,1,1,0,1,0,1,0,1,0
AL137009.2,0,1,0,0,0,0,0,0,0
FAM184A,1,1,0,1,0,1,0,1,0
TBC1D32,1,1,0,1,0,1,0,1,0
HSF2,1,1,0,1,0,1,0,1,0
HEY2,1,1,0,1,0,1,0,1,0
TRMT11,1,1,0,1,0,1,0,1,0
CENPW,1,0,0,0,0,0,0,1,0
AL035603.1,1,1,0,1,0,1,0,1,0
KIAA0408,1,1,0,0,0,0,0,1,0
AL096711.2,1,0,0,1,0,0,0,1,0
SOGA3,1,1,0,1,0,1,0,1,0
LAMA2,0,0,0,0,0,1,0,0,0
ENPP3,0,1,0,0,0,1,0,0,0
CCN2,1,1,0,1,0,1,0,1,0
RPS12,1,0,0,0,0,0,0,0,0
SLC2A12,0,1,0,0,0,1,0,0,0
SGK1,0,0,0,0,0,1,0,0,0
TNFAIP3,1,1,0,1,0,1,0,1,0
NHSL1,0,0,0,0,0,1,0,0,0
ABRACL,1,0,0,0,0,0,0,1,0
TXLNB,0,0,0,0,0,1,0,0,0
AL359313.1,0,0,0,1,0,0,0,1,0
HIVEP2,1,1,0,1,0,1,0,1,0
AL136116.3,0,0,0,0,0,1,0,0,0
AL031320.2,1,0,0,0,0,1,0,0,0
VDAC1P8,0,0,0,1,0,0,0,1,0
LTV1,1,1,0,0,0,1,0,0,0
PLAGL1,0,1,0,0,0,1,0,0,0
STX11,1,1,0,1,0,1,0,1,0
AL023806.1,0,0,0,0,0,1,0,0,0
FBXO30,1,1,0,1,0,1,0,1,0
AL356599.1,1,1,0,1,0,1,0,1,0
SHPRH,1,1,0,1,0,1,0,1,0
TAB2,1,1,0,1,0,1,0,0,0
ZC3H12D,1,1,0,1,0,1,0,1,0
RPS18P9,1,0,0,0,0,0,0,0,0
LATS1,1,1,0,1,0,1,0,1,0
LRP11,0,0,0,0,0,1,0,0,0
ULBP1,0,1,0,0,0,1,0,0,0
RAET1K,1,1,0,1,0,1,0,1,0
ARL4AP5,1,1,0,0,0,1,0,0,0
ZBTB2,1,1,0,1,0,1,0,1,0
CCDC170,1,0,0,1,0,0,0,1,0
SYNE1,0,0,0,1,0,0,0,0,0
AL590867.2,1,0,0,0,0,0,0,1,0
IPCEF1,1,1,0,1,0,1,0,1,0
AL357075.4,0,0,0,1,0,0,0,0,0
SCAF8,1,1,0,1,0,1,0,1,0
TIAM2,1,1,0,1,0,1,0,1,0
AL596202.1,0,0,0,1,0,0,0,0,0
TMEM242,1,1,0,1,0,0,0,0,0
AL390955.2,0,0,0,1,0,0,0,1,0
FNDC1,0,0,0,0,0,1,0,0,0
ACAT2,0,0,0,0,0,0,0,1,0
TCP1,1,0,0,1,0,0,0,1,0
IGF2R,1,1,0,1,0,1,0,1,0
AL353625.1,1,1,0,0,0,0,0,0,0
LPAL2,1,1,0,1,0,1,0,1,0
AGPAT4,1,1,0,1,0,1,0,1,0
PRKN,0,1,0,0,0,0,0,0,0
AL022069.3,0,0,0,1,0,0,0,1,0
RPS6KA2,1,1,0,1,0,1,0,1,0
CCR6,0,1,0,0,0,0,0,0,0
AL009176.1,1,1,0,0,0,0,0,0,0
AL031315.1,1,1,0,1,0,1,0,1,0
AL135910.1,1,1,0,1,0,1,0,1,0
WDR27,1,1,0,1,0,1,0,1,0
ERMARD,1,1,0,1,0,1,0,1,0
LINC00242,1,1,0,0,0,1,0,0,0
FAM120B,1,1,0,1,0,1,0,1,0
TBP,1,1,0,1,0,1,0,1,0
PDCD2,1,1,0,1,0,1,0,1,0
AL031259.1,0,0,0,1,0,0,0,0,0
FAM20C,1,1,0,1,0,1,0,1,0
PDGFA,0,0,0,1,0,1,0,0,0
ADAP1,0,0,0,1,0,0,0,0,0
COX19,1,1,0,1,0,1,0,1,0
ZFAND2A,1,1,0,0,0,1,0,1,0
AC091729.3,1,1,0,1,0,1,0,1,0
UNCX,1,1,0,1,0,1,0,1,0
MICALL2,1,1,0,1,0,1,0,1,0
AC102953.2,1,1,0,1,0,1,0,1,0
INTS1,1,1,0,1,0,1,0,1,0
AC069288.1,1,1,0,0,0,1,0,0,0
MRM2,0,1,0,0,0,0,0,0,0
CHST12,1,1,0,1,0,0,0,1,0
TTYH3,1,1,0,1,0,1,0,1,0
GNA12,1,1,0,1,0,1,0,1,0
SDK1,0,0,0,0,0,1,0,0,0
FOXK1,1,1,0,1,0,1,0,1,0
AP5Z1,1,1,0,1,0,1,0,1,0
RBAK.RBAKDN,0,0,0,0,0,1,0,0,0
RBAK,1,1,0,1,0,1,0,1,0
WIPI2,1,1,0,1,0,1,0,1,0
SLC29A4,0,0,0,1,0,0,0,0,0
TNRC18,1,0,0,0,0,0,0,0,0
FBXL18,1,1,0,1,0,1,0,1,0
ACTB,1,0,0,1,0,0,0,1,0
FSCN1,1,0,0,1,0,0,0,0,0
RSPH10B,1,1,0,0,0,1,0,1,0
PMS2,1,1,0,1,0,1,0,1,0
USP42,1,0,0,1,0,1,0,0,0
DAGLB,1,1,0,1,0,1,0,1,0
GRID2IP,1,0,0,0,0,1,0,1,0
ZNF12,1,0,0,1,0,0,0,0,0
PMS2CL,1,1,0,1,0,1,0,1,0
RSPH10B2,1,0,0,1,0,1,0,0,0
AC005532.1,1,1,0,0,0,1,0,0,0
AC007128.1,1,1,0,1,0,1,0,1,0
AC007128.2,1,1,0,1,0,1,0,0,0
AC004949.1,0,1,0,1,0,0,0,1,0
NDUFA4,1,0,0,1,0,0,0,0,0
VWDE,1,1,0,1,0,1,0,1,0
ARL4A,1,1,0,0,0,1,0,0,0
HDAC9,0,0,0,0,0,1,0,0,0
RPL23P8,1,0,0,0,0,0,0,0,0
DNAH11,1,1,0,1,0,1,0,1,0
EEF1A1P6,0,0,0,0,0,0,0,1,0
KLHL7.DT,0,0,0,0,0,0,0,1,0
AK3P3,0,1,0,0,0,0,0,0,0
NUP42,1,1,0,1,0,1,0,1,0
RPS2P32,0,0,0,0,0,0,0,1,0
AC005165.1,0,0,0,0,0,0,0,1,0
AC005165.3,0,0,0,0,0,1,0,0,0
AC010719.1,1,0,0,0,0,0,0,0,0
NFE2L3,0,0,0,0,0,0,0,1,0
HNRNPA2B1,0,1,0,1,0,1,0,1,0
SNX10,0,1,0,0,0,1,0,0,0
HOXA2,1,1,0,0,0,1,0,1,0
HOXA3,1,1,0,1,0,1,0,1,0
HOXA.AS2,1,1,0,0,0,1,0,0,0
HOXA4,1,1,0,1,0,1,0,1,0
AC004080.6,0,0,0,0,0,0,0,1,0
HOXA5,1,1,0,1,0,1,0,1,0
HOXA6,1,1,0,1,0,1,0,1,0
AC004080.5,1,1,0,1,0,1,0,1,0
HOXA9,1,1,0,1,0,1,0,1,0
AC004080.3,1,1,0,1,0,1,0,0,0
HOXA10.AS,0,0,0,0,0,1,0,1,0
AC004080.2,1,1,0,0,0,1,0,0,0
HOXA13,1,1,0,1,0,1,0,1,0
HOTTIP,1,0,0,0,0,0,0,1,0
CREB5,1,1,0,1,0,1,0,1,0
CPVL,1,1,0,1,0,1,0,1,0
NOD1,1,1,0,1,0,1,0,1,0
AC005154.2,0,0,0,0,0,1,0,0,0
GARS1,0,1,0,0,0,1,0,0,0
MINDY4,1,1,0,1,0,1,0,1,0
AQP1,1,1,0,1,0,1,0,1,0
ADCYAP1R1,1,1,0,1,0,1,0,1,0
DPY19L1P1,1,1,0,1,0,1,0,1,0
ZNRF2P1,0,1,0,1,0,0,0,0,0
LINC00997,1,1,0,1,0,1,0,1,0
DPY19L1P2,0,0,0,1,0,0,0,0,0
RP9P,1,1,0,1,0,1,0,1,0
RP9,1,1,0,1,0,1,0,1,0
BMPER,0,1,0,1,0,1,0,0,0
AC009262.1,1,1,0,1,0,1,0,0,0
DPY19L1,1,1,0,1,0,1,0,1,0
DPY19L2P1,1,1,0,1,0,1,0,1,0
AC018647.2,0,0,0,1,0,0,0,0,0
SFRP4,1,1,0,1,0,1,0,1,0
STARD3NL,0,0,0,1,0,0,0,1,0
POU6F2,1,0,0,0,0,0,0,1,0
LINC00265,1,1,0,1,0,1,0,1,0
LINC01449,1,1,0,0,0,0,0,0,0
INHBA,0,1,0,0,0,1,0,0,0
PSMA2,1,0,0,1,0,0,0,1,0
AC005537.2,0,0,0,1,0,0,0,0,0
HECW1,0,0,0,1,0,0,0,0,0
LUARIS,0,0,0,0,0,0,0,1,0
STK17A,0,1,0,0,0,1,0,0,0
URGCP,1,1,0,0,0,0,0,0,0
UBE2D4,1,1,0,1,0,1,0,1,0
POLR2J4,1,1,0,1,0,1,0,1,0
AC004951.4,1,0,0,0,0,1,0,1,0
LINC00957,1,1,0,0,0,1,0,0,0
POLM,1,1,0,1,0,1,0,1,0
AC004453.1,0,0,0,0,0,0,0,1,0
NPC1L1,0,0,0,0,0,1,0,0,0
DDX56,0,1,0,0,0,1,0,0,0
PURB,0,0,0,0,0,1,0,0,0
AC004854.2,0,1,0,1,0,1,0,0,0
SNHG15,1,1,0,1,0,1,0,1,0
ADCY1,1,1,0,1,0,1,0,1,0
SEPTIN7P2,1,1,0,1,0,1,0,1,0
GTF2IP13,1,1,0,1,0,1,0,1,0
PKD1L1,1,1,0,1,0,1,0,1,0
HUS1,1,1,0,1,0,1,0,1,0
IKZF1,0,0,0,0,0,1,0,0,0
FIGNL1,0,0,0,1,0,0,0,0,0
GRB10,0,0,0,0,0,1,0,0,0
LINC01446,1,1,0,1,0,0,0,0,0
SEC61G,1,0,0,1,0,0,0,1,0
FKBP9P1,0,0,0,0,0,1,0,1,0
AC092647.5,1,0,0,1,0,0,0,0,0
ZNF713,1,0,0,1,0,0,0,1,0
PSPH,1,1,0,1,0,1,0,1,0
PHKG1,1,1,0,1,0,1,0,1,0
AC118758.3,1,0,0,1,0,0,0,0,0
ZNF736,0,0,0,1,0,0,0,0,0
ZNF680,1,1,0,1,0,1,0,1,0
ZNF107,1,1,0,1,0,1,0,1,0
ZNF273,1,1,0,1,0,1,0,1,0
