,BIO2197294-CHX_vs_DMSO,BIO2197294-CHX_vs_DMSO-CHX,BIO2197294-CHX_vs_7294,BIO2197294-EtOH_vs_DMSO,BIO2197294-EtOH_vs_U1_WT100_EtOH,BIO2197294-EtOH_vs_U1_WT500_EtOH,BIO2197294-CHX_vs_U1_WT100_CHX,BIO2197294-CHX_vs_U1_WT500_CHX,BIO2197294-EtOH_vs_U1_U1_mut1_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut1_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut1_100_CHX,BIO2197294-CHX_vs_U1_U1_mut1_500_CHX,BIO2197294-EtOH_vs_U1_U1_mut2_100_EtOH,BIO2197294-EtOH_vs_U1_U1_mut2_500_EtOH,BIO2197294-CHX_vs_U1_U1_mut2_100_CHX,BIO2197294-CHX_vs_U1_U1_mut2_500_CHX
KRBA2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NTN1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USP43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYH3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPRM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3ST3A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005224.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PMP22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEKT3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRT4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRT1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005324.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LRRC75A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF287,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF624,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USP32P1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPRIP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC055811.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLD6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SREBF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MYO15A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOP3A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02076,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
KRT17P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZNF286B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FOXO3B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXW10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GRAP,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC007952.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
RPS2P46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC47A1P2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC144CP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USP32P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC015818.2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
KCNJ12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WSB1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LGALS9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LYRM9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC002094.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005726.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RSKR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
KIAA0100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEK8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIAF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ABHD15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GIT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORO6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SUZ12P1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC127024.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAD5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEFM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC130324.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC138207.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB11FIP4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007923.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC090616.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
RHBDL3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MYO1D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLK2P1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF830,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NLE1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022916.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PEX12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC015849.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LRRC37A9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TBC1D3B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC233699.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GGNBP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MRM1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC243830.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC243830.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TADA2A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNRG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D3L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D3D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC233968.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPEPPSP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOCS7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EPOP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CWC25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LASP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RDM1P5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091178.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNB1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009283.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ERBB2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSDMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THRA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAPGEFL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RARA.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC073508.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TTC25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF385C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGLU,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMC3IP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBG2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC100793.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNK4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AOC2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
AOC3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
AARSD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGES3L.AARSD1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGES3L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNDC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARL4D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAP97D1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MPP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HROB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNDC3A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GRN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPATCH8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FZD2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GJC1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC142472.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAP3K14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A4P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091132.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KANSL1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NSFP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC37A17P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGB3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPL45P2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBX21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004477.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SNX11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB.AS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC103702.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HOXB6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TTLL6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091133.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B4GALNT2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
ZNF652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAT7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC027801.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R9B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COL1A1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC015909.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EME1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1G,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NME1.NME2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AC007485.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HLF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DGKE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSI2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC015813.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC015813.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX14,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
PRR11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC099850.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SMG8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091271.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PTRH2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RNFT1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HEATR6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPM1D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TBX4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MED13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TLK2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TANC2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TCAM1P,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCN4A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
POLG2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SMURF2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP27P1.BPTFP1.KPNA2P3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KPNA2P3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BPTFP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHM1P1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
LRRC37A3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC103810.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AXIN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005332.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005332.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC16A6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SOX9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LINC00511,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C17orf80,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TTYH2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAT9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMC7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NT5C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGA3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RECQL5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAP30BP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNK,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC087289.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FBF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOX1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UBALD2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RPL7P49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005837.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNHG20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC14L1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNRC6C.AS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCS3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PGS1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAH17,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1
USP36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMP2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TBC1D16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC087741.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SGSH,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC26A11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF213.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPTOR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC127496.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BAIAP2.DT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEPSIN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC027601.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC110285.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAHCC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC137,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SIRT7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAFG,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
AC145207.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FASN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC57,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNK1D,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AC132872.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC132872.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TEX19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RAB40B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC144831.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCK1P1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
COLEC12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOSF1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EMILIN2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP000919.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00526,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AP001033.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TXNDC2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBB6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRELID3A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP001029.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP76,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP005482.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP192,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A5P,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP005212.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GATA6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RIOK3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMA3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HRH4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DSG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4GALT6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEP1B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA1P7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASXL3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOL4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC011815.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ZNF396,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C18orf21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC39A6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023043.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FHOD3,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0
KIAA1328,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CELF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MIR924HG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00907,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
EPG5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C18orf25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KATNAL2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CTIF,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC048380.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAA2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAP53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELAC1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091551.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POLI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TCF4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022031.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP8B1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPK2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMAIP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CDH7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTTN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMM21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00909,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF407,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF516,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC018413.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP9B,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC125437.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023090.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC018445.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC068473.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC090360.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RBFADN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD6G.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD6G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIER2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BSG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PALM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MISP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLPPR3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID3A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CBARP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5F1D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EFNA2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005329.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
